"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1628","Homepage Info Is Same After Reload[Chromium]","tests","Tue Dec 24 05:26:06 GMT 2024","passed","Tue Dec 24 05:26:07 GMT 2024","","test_homepage","",""
"","4296","Verify Successful Message After Register As Tutor[Chromium]","tests","Tue Dec 24 05:26:50 GMT 2024","passed","Tue Dec 24 05:26:54 GMT 2024","","test_register","",""
"","3979","Statistics Button Is Visible[Chromium]","tests","Tue Dec 24 05:24:36 GMT 2024","passed","Tue Dec 24 05:24:40 GMT 2024","","test_header","",""
"","0","test_cookie_text_matches[chromium]","tests","Tue Dec 24 05:23:31 GMT 2024","skipped","Tue Dec 24 05:23:31 GMT 2024","","test_cookie_banner","",""
"Проверка видимости кнопки 'Профиль'
    TC_11.002.01.001 | [Teacher ] Header > ""Профиль"" button > Visibility check","3488","Profile Btn Visibility[Chromium-Main Page]","tests","Tue Dec 24 05:26:56 GMT 2024","passed","Tue Dec 24 05:27:00 GMT 2024","","test_user_profile","",""
"Проверка видимости кнопки 'Профиль'
    TC_11.002.01.001 | [Teacher ] Header > ""Профиль"" button > Visibility check","3569","Profile Btn Visibility[Chromium-Statistics Page]","tests","Tue Dec 24 05:27:15 GMT 2024","passed","Tue Dec 24 05:27:18 GMT 2024","","test_user_profile","",""
"","0","test_teacher_announcement_name[chromium]","tests","Tue Dec 24 05:22:57 GMT 2024","skipped","Tue Dec 24 05:22:57 GMT 2024","","test_announcement","",""
"Проверка перенаправления на страницу профиля пользователя после нажатия кнопки 'Профиль'
    TC_11.002.01.003 | [Teacher ] Header > ""Профиль"" button > Redirection check","4005","Profile Btn Redirection[Chromium-User Profile Page]","tests","Tue Dec 24 05:27:59 GMT 2024","passed","Tue Dec 24 05:28:03 GMT 2024","","test_user_profile","",""
"","2728","Support Visibility As Student[Chromium]","tests","Tue Dec 24 05:24:07 GMT 2024","passed","Tue Dec 24 05:24:10 GMT 2024","","test_header","",""
"","0","test_teacher_announcement_blank_form[chromium]","tests","Tue Dec 24 05:22:57 GMT 2024","skipped","Tue Dec 24 05:22:57 GMT 2024","","test_announcement","",""
"Проверка перенаправления на страницу профиля пользователя после нажатия кнопки 'Профиль'
    TC_11.002.01.003 | [Teacher ] Header > ""Профиль"" button > Redirection check","4053","Profile Btn Redirection[Chromium-Statistics Page]","tests","Tue Dec 24 05:28:03 GMT 2024","passed","Tue Dec 24 05:28:07 GMT 2024","","test_user_profile","",""
"","1228","Visible Button Accept[Chromium]","tests","Tue Dec 24 05:23:28 GMT 2024","passed","Tue Dec 24 05:23:30 GMT 2024","","test_cookie_banner","",""
"","1223","Enable Button Accept[Chromium]","tests","Tue Dec 24 05:23:30 GMT 2024","passed","Tue Dec 24 05:23:31 GMT 2024","","test_cookie_banner","",""
"","1726","More Btn Redirects Telegram Page For Tutors[Chromium]","tests","Tue Dec 24 05:26:12 GMT 2024","passed","Tue Dec 24 05:26:14 GMT 2024","","test_homepage","",""
"","3964","Redirection To My Announcement Page[Chromium]","tests","Tue Dec 24 05:22:57 GMT 2024","passed","Tue Dec 24 05:23:01 GMT 2024","","test_announcement","",""
"","33026","Teacher Announcement Blank Form Same Endpoint[Chromium]","tests","Tue Dec 24 05:22:24 GMT 2024","broken","Tue Dec 24 05:22:57 GMT 2024","","test_announcement","",""
"Проверка смены цвета кнопки 'Профиль' при наведении на нее курсора
    TC_11.002.01.002 | [Teacher ] Header > ""Профиль"" button > Hover support check","3621","Profile Btn Hover[Chromium-User Profile Page]","tests","Tue Dec 24 05:27:34 GMT 2024","passed","Tue Dec 24 05:27:38 GMT 2024","","test_user_profile","",""
"Проверка что открылась страница 'Мои репетиторы' со списком репетиторов или без с соответствующим сообщением.","4872","Check Teachers List[Chromium]","tests","Tue Dec 24 05:23:22 GMT 2024","passed","Tue Dec 24 05:23:27 GMT 2024","","test_btn_my_teachers","",""
"Проверка перенаправления на страницу профиля пользователя после нажатия кнопки 'Профиль'
    TC_11.002.01.003 | [Teacher ] Header > ""Профиль"" button > Redirection check","3893","Profile Btn Redirection[Chromium-Signup Page]","tests","Tue Dec 24 05:27:50 GMT 2024","passed","Tue Dec 24 05:27:54 GMT 2024","","test_user_profile","",""
"","2941","Login As Tutor Btn Create Listing[Chromium]","tests","Tue Dec 24 05:26:31 GMT 2024","passed","Tue Dec 24 05:26:34 GMT 2024","","test_login","",""
"","0","TC_03.001.005","tests","Tue Dec 24 05:26:34 GMT 2024","skipped","Tue Dec 24 05:26:34 GMT 2024","","test_login","",""
"","1246","Enabled Privacy Policy Url[Chromium]","tests","Tue Dec 24 05:26:36 GMT 2024","passed","Tue Dec 24 05:26:37 GMT 2024","","test_privacy_policy","",""
"","4405","My Students Btn Is Not Visible For Students[Chromium]","tests","Tue Dec 24 05:24:49 GMT 2024","passed","Tue Dec 24 05:24:53 GMT 2024","","test_header","",""
"Проверка клика на кнопку 'Мои репетиторы'.","4803","My Teachers Btn Click[Chromium]","tests","Tue Dec 24 05:23:17 GMT 2024","passed","Tue Dec 24 05:23:22 GMT 2024","","test_btn_my_teachers","",""
